N_A,N_B,cost_yuan,p_self_lower
0,0,0.0,0.0
0,1,0.0016755160819145567,0.040000000000000036
0,2,0.0033510321638291134,0.07840000000000003
0,3,0.00502654824574367,0.11526400000000014
0,4,0.006702064327658227,0.15065344000000014
0,5,0.008377580409572783,0.18462730240000014
0,6,0.01005309649148734,0.21724221030400015
0,7,0.011728612573401897,0.24855252189184018
0,8,0.013404128655316453,0.2786104210161666
0,9,0.01507964473723101,0.30746600417551995
0,10,0.016755160819145565,0.3351673640084992
0,11,0.018430676901060122,0.3617606694481592
0,12,0.02010619298297468,0.38729024267023293
0,13,0.021781709064889236,0.41179863296342356
0,14,0.023457225146803793,0.4353266876448867
0,15,0.02513274122871835,0.4579136201390912
0,16,0.026808257310632907,0.4795970753335276
0,17,0.028483773392547464,0.5004131923201866
0,18,0.03015928947446202,0.5203966646273791
0,19,0.03183480555637658,0.539580798042284
0,20,0.03351032163829113,0.5579975661205926
0,21,0.03518583772020569,0.575677663475769
0,22,0.036861353802120245,0.5926505569367382
0,23,0.038536869884034805,0.6089445346592687
0,24,0.04021238596594936,0.6245867532728979
0,25,0.04188790204786392,0.639603283141982
0,26,0.04356341812977847,0.6540191518163028
0,27,0.04523893421169303,0.6678583857436506
0,28,0.046914450293607586,0.6811440503139046
0,29,0.048589966375522146,0.6938982883013485
0,30,0.0502654824574367,0.7061423567692946
0,31,0.05194099853935126,0.7178966624985228
0,32,0.053616514621265814,0.7291807959985819
0,33,0.05529203070318037,0.7400135641586386
0,34,0.05696754678509493,0.7504130215922931
0,35,0.05864306286700948,0.7603965007286013
0,36,0.06031857894892404,0.7699806406994574
0,37,0.061994095030838595,0.7791814150714791
0,38,0.06366961111275315,0.7880141584686199
0,39,0.06534512719466772,0.796493592129875
0,40,0.06702064327658226,0.8046338484446801
0,41,0.06869615935849682,0.8124484945068928
0,42,0.07037167544041138,0.8199505547266172
0,43,0.07204719152232594,0.8271525325375525
0,44,0.07372270760424049,0.8340664312360504
0,45,0.07539822368615505,0.8407037739866083
0,46,0.07707373976806961,0.8470756230271441
0,47,0.07874925584998417,0.8531925981060583
0,48,0.08042477193189872,0.859064894181816
0,49,0.08210028801381328,0.8647022984145434
0,50,0.08377580409572784,0.8701142064779617
0,51,0.08545132017764238,0.8753096382188431
0,52,0.08712683625955694,0.8802972526900894
0,53,0.0888023523414715,0.8850853625824858
0,54,0.09047786842338607,0.8896819480791864
0,55,0.09215338450530061,0.894094670156019
0,56,0.09382890058721517,0.8983308833497782
0,57,0.09550441666912973,0.9023976480157871
0,58,0.09717993275104429,0.9063017420951556
0,59,0.09885544883295884,0.9100496724113494
0,60,0.1005309649148734,0.9136476855148954
0,61,0.10220648099678796,0.9171017780942996
0,62,0.10388199707870252,0.9204177069705276
0,63,0.10555751316061707,0.9236009986917065
0,64,0.10723302924253163,0.9266569587440383
0,65,0.10890854532444619,0.9295906803942767
0,66,0.11058406140636073,0.9324070531785057
0,67,0.1122595774882753,0.9351107710513654
0,68,0.11393509357018985,0.9377063402093109
0,69,0.11561060965210442,0.9401980866009384
0,70,0.11728612573401896,0.9425901631369009
0,71,0.11896164181593352,0.9448865566114248
0,72,0.12063715789784808,0.9470910943469678
0,73,0.12231267397976264,0.9492074505730891
0,74,0.12398819006167719,0.9512391525501656
0,75,0.12566370614359176,0.953189586448159
0,76,0.1273392222255063,0.9550620029902326
0,77,0.12901473830742086,0.9568595228706233
0,78,0.13069025438933543,0.9585851419557984
0,79,0.13236577047124998,0.9602417362775664
0,80,0.13404128655316452,0.9618320668264637
1,73,0.1371566992679744,0.9621449421800219
1,74,0.13883221534988896,0.963659144492821
1,75,0.14050773143180353,0.9651127787131082
1,76,0.14218324751371808,0.9665082675645839
1,77,0.14385876359563263,0.9678479368620004
1,78,0.1455342796775472,0.9691340193875204
1,79,0.14720979575946175,0.9703686586120196
1,80,0.1488853118413763,0.9715539122675388
2,73,0.15200072455618618,0.9717870943923391
2,74,0.15367624063810073,0.9729156106166456
